Entity,Code,Year,Annual CO2 emission
Ghana,GHA,1951,875696
Ghana,GHA,1952,868368
Ghana,GHA,1953,1018592
Ghana,GHA,1954,1003936.06
Ghana,GHA,1955,1187136
Ghana,GHA,1956,1077216
Ghana,GHA,1957,1293392
Ghana,GHA,1958,1363008
Ghana,GHA,1959,1322704
Ghana,GHA,1960,1461936
Ghana,GHA,1961,1344688
Ghana,GHA,1962,1432624
Ghana,GHA,1963,1722080
Ghana,GHA,1964,1648800
Ghana,GHA,1965,1703760
Ghana,GHA,1966,1439952
Ghana,GHA,1967,1494912
Ghana,GHA,1968,1761463
Ghana,GHA,1969,1687473
Ghana,GHA,1970,2621641
Ghana,GHA,1971,2291524
Ghana,GHA,1972,2420240
Ghana,GHA,1973,2471447
Ghana,GHA,1974,2932754
Ghana,GHA,1975,2741632
Ghana,GHA,1976,2426597
Ghana,GHA,1977,2991523
Ghana,GHA,1978,2957431
Ghana,GHA,1979,2649224
Ghana,GHA,1980,2548058
Ghana,GHA,1981,3029859
Ghana,GHA,1982,3028435
Ghana,GHA,1983,3639025
Ghana,GHA,1984,2567062
Ghana,GHA,1985,3301674
Ghana,GHA,1986,3030344
Ghana,GHA,1987,3263615
Ghana,GHA,1988,3411199
Ghana,GHA,1989,3295020
Ghana,GHA,1990,3790882
Ghana,GHA,1991,4209288
Ghana,GHA,1992,3661745
Ghana,GHA,1993,4309505
Ghana,GHA,1994,5088912
Ghana,GHA,1995,5153605
Ghana,GHA,1996,5468649
Ghana,GHA,1997,6204804
Ghana,GHA,1998,6244973
Ghana,GHA,1999,6370451
Ghana,GHA,2000,6101182
Ghana,GHA,2001,6733777
Ghana,GHA,2002,7232698
Ghana,GHA,2003,7438500
Ghana,GHA,2004,7153326
Ghana,GHA,2005,6802875
Ghana,GHA,2006,9159489
Ghana,GHA,2007,9618768
Ghana,GHA,2008,8925351
Ghana,GHA,2009,7497608
Ghana,GHA,2010,9709648
Ghana,GHA,2011,11226017
Ghana,GHA,2012,14382069
Ghana,GHA,2013,14339920
Ghana,GHA,2014,14975182
Ghana,GHA,2015,16026217
Ghana,GHA,2016,15562399
Ghana,GHA,2017,13943429
Ghana,GHA,2018,17104952
Ghana,GHA,2019,18706476
Ghana,GHA,2020,19654350
Ghana,GHA,2021,21312802
